nama_produk,harga,harga_tidak_diskon,ketersediaan_stock
"  Ibanez GB10SEFM-SRR Electric Guitar w/Case, Sapphire Red  ",24900000,, In Stock 
"  Fender Limited Edition Player Telecaster Electric Guitar, Pau Ferro FB, Olive  ",14548000,18185000, In Stock 
"  Fender Limited Edition Player Telecaster Electric Guitar, Maple FB, Burgundy Mist  ",14548000,18185000, In Stock 
"  Fender American Vintage II 61 Stratocaster Electric Guitar, RW FB, Olympic White  ",41055000,, Low in Stock 
"  Squier FSR Affinity Series Telecaster Electric Guitar, Maple FB, Natural  ",5865000,, In Stock 
"  Squier FSR Classic Vibe 60s Competition Mustang Guitar w/ Dakota Red Stripes, Capri Orange  ",9720000,, In Stock 
"  Charvel Henrik Danhage Ltd Ed Signature Pro-Mod So-Cal Style 1 Electric Guitar, White Relic  ",33525000,, In Stock 
"  Squier FSR Affinity Series HH Telecaster Electric Guitar, Laurel FB, Metallic Orange  ",6350000,, In Stock 
"  Fender FSR Player Stratocaster Electric Guitar, Roasted Maple FB, 2-Tone Sunburst  ",16608000,20760000, In Stock 
"  Fender Player Plus Telecaster Electric Guitar, Maple FB, 3-Color Sunburst  ",16624000,20780000, In Stock 
"  Squier Affinity Series Telecaster Electric Guitar, Maple FB, 3-Color Sunburst  ",5175000,, In Stock 
"  Fender Japan Traditional II 50s Telecaster Electric Guitar, Maple FB, Butterscotch Blonde  ",18575000,, In Stock 
"  Fender American Professional II Stratocaster Electric Guitar, RW FB, Mystic Surf Green  ",35770000,, In Stock 
"  Fender Player HSS Plus Top Stratocaster Electric Guitar, Pau Ferro FB, Tobacco Sunburst  ",14548000,18185000, Low in Stock 
"  Jackson JS Series Warrior JS32 Electric Guitar, Amaranth FB, Black w/White Bevels  ",8980000,, In Stock 
"  Jackson JS Series Dinky JS12 Electric Guitar, Amaranth FB, White  ",3955000,, In Stock 
"  Squier Classic Vibe 60s Stratocaster Electric Guitar, Laurel FB, Lake Placid Blue  ",8570000,, In Stock 
"  Fender Player Telecaster Electric Guitar, Maple FB, Capri Orange  ",14076000,17595000, In Stock 
"  Fender American Performer HSS Stratocaster Electric Guitar, Maple FB, Satin Seafoam Green  ",30765000,, In Stock 
"  Squier Sonic Stratocaster HSS Electric Guitar w/Black Pickguard, Maple FB, Black (B-Stock)  ",3555000,3950000, Just Sold! 
"  Squier FSR Mini Stratocaster Electric Guitar, Laurel FB, Imperial Blue  ",3700000,, Available on Request 
"  Squier FSR Mini Stratocaster Electric Guitar, Laurel FB, Surf Green  ",3700000,, Available on Request 
"  Fender American Professional Classic Stratocaster Electric Guitar, Maple FB, Faded Firemist Gold  ",32000000,, Available for Pre-Order 
"  Squier FSR Affinity Series HSS Stratocaster Electric Guitar, Laurel FB, Metallic Black  ",6450000,, Available on Request 
"  Ibanez RG470DXFM-CS Electric Guitar, Cherry Sunburst  ",9780000,, Available for Pre-Order 
"  Squier FSR Affinity Series Stratocaster HSS Electric Guitar, Laurel FB, Olympic White  ",5865000,, Available on Request 
"  Ibanez GRX40-MGR Electric Guitar, Mint Green  ",2635000,, Available for Pre-Order 
"  D'Angelico Premier DC Semi-Hollowbody Electric Guitar, Black Flake w/Stopbar Tailpiece  ",14950000,, Available on Request 
"  Ibanez RG460DX-ROM Electric Guitar, Roadster Orange Metallic  ",9250000,, Available for Pre-Order 
"  Ibanez FRM350-BK Paul Gilbert Signature Electric Guitar w/Bag, Black  ",23150000,, Available for Pre-Order 
"  Fender Japan Hybrid II Stratocaster HSH Electric Guitar, RW FB, Modena Red  ",21150000,, Available for Pre-Order 
"  Squier Affinity Series Telecaster Thinline Electric Guitar, Maple FB, 3-Color Sunburst  ",6350000,, Available on Request 
"  Squier FSR Classic Vibe 60s Stratocaster Electric Guitar, Indian Laurel FB, Olympic White  ",8600000,, Available on Request 
"  Squier Limited Edition Squier Sonic Mustang HH Electric Guitar, Maple FB, Black  ",3950000,, Available on Request 
"  Fender Japan Hybrid II Stratocaster Electric Guitar, Maple FB, Celeste Blue  ",22470000,, Available for Pre-Order 
"  Ibanez RG470DX-SFM Electric Guitar, Sea Foam Green Matte  ",9090000,, Available for Pre-Order 
"  Gretsch G2657T Streamliner Center Block Jr. Double-Cut w/Bigsby Electric Guitar, Candy Apple Red  ",11625000,, Available on Request 
"  Squier Debut Series Stratocaster Electric Guitar, Laurel FB, 2-Colour Sunburst  ",2635000,, Available on Request 
"  Fender Andy Mooney World Stamp Collection Telecaster Electric Guitar, RW FB, Indonesia, US20033882  ",198365000,, Available for Pre-Order 
